994
1988
pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794) & pt=0, lineID=308, koords=(0.119,95.031) <-> pt=1, lineID=308, koords=(2.628,90.2407)
pt=0, lineID=689, koords=(2.637,73.412) <-> pt=1, lineID=689, koords=(12.3144,72.5727) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=689, koords=(2.637,73.412) <-> pt=1, lineID=689, koords=(12.3144,72.5727) & pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464)
pt=0, lineID=716, koords=(2.64,15.015) <-> pt=1, lineID=716, koords=(10.6644,22.0749) & pt=0, lineID=402, koords=(0.799,13.593) <-> pt=1, lineID=402, koords=(8.8636,21.996)
pt=0, lineID=716, koords=(2.64,15.015) <-> pt=1, lineID=716, koords=(10.6644,22.0749) & pt=0, lineID=904, koords=(1.859,13.676) <-> pt=1, lineID=904, koords=(8.2293,17.2136)
pt=0, lineID=406, koords=(2.76,28.659) <-> pt=1, lineID=406, koords=(3.3388,28.1724) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=406, koords=(2.76,28.659) <-> pt=1, lineID=406, koords=(3.3388,28.1724) & pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832)
pt=0, lineID=77, koords=(2.812,24.5929) <-> pt=1, lineID=77, koords=(2.921,26.429) & pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832)
pt=0, lineID=77, koords=(2.812,24.5929) <-> pt=1, lineID=77, koords=(2.921,26.429) & pt=0, lineID=127, koords=(1.918,21.724) <-> pt=1, lineID=127, koords=(3.7868,23.2964)
pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=166, koords=(2.91,54.292) <-> pt=1, lineID=166, koords=(7.6996,57.9966) & pt=0, lineID=662, koords=(2.234,56.7) <-> pt=1, lineID=662, koords=(9.9559,60.7845)
pt=0, lineID=166, koords=(2.91,54.292) <-> pt=1, lineID=166, koords=(7.6996,57.9966) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=77, koords=(2.812,24.5929) <-> pt=1, lineID=77, koords=(2.921,26.429) & pt=0, lineID=406, koords=(2.76,28.659) <-> pt=1, lineID=406, koords=(3.3388,28.1724)
pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832) & pt=0, lineID=127, koords=(1.918,21.724) <-> pt=1, lineID=127, koords=(3.7868,23.2964)
pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=273, koords=(2.308,31.554) <-> pt=1, lineID=273, koords=(9.1156,32.3412) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=406, koords=(2.76,28.659) <-> pt=1, lineID=406, koords=(3.3388,28.1724) & pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832)
pt=0, lineID=409, koords=(2.925,66.586) <-> pt=1, lineID=409, koords=(7.1718,64.4689) & pt=0, lineID=689, koords=(2.637,73.412) <-> pt=1, lineID=689, koords=(12.3144,72.5727)
pt=0, lineID=409, koords=(2.925,66.586) <-> pt=1, lineID=409, koords=(7.1718,64.4689) & pt=0, lineID=449, koords=(2.148,64.775) <-> pt=1, lineID=449, koords=(9.5068,61.0464)
pt=0, lineID=785, koords=(2.997,93.865) <-> pt=1, lineID=785, koords=(9.3001,92.4485) & pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611)
pt=0, lineID=785, koords=(2.997,93.865) <-> pt=1, lineID=785, koords=(9.3001,92.4485) & pt=0, lineID=510, koords=(0.545,88.407) <-> pt=1, lineID=510, koords=(8.4786,88.539)
pt=0, lineID=726, koords=(3.037,66.616) <-> pt=1, lineID=726, koords=(10.3136,68.4763) & pt=0, lineID=689, koords=(2.637,73.412) <-> pt=1, lineID=689, koords=(12.3144,72.5727)
pt=0, lineID=726, koords=(3.037,66.616) <-> pt=1, lineID=726, koords=(10.3136,68.4763) & pt=0, lineID=409, koords=(2.925,66.586) <-> pt=1, lineID=409, koords=(7.1718,64.4689)
pt=0, lineID=739, koords=(3.048,38.814) <-> pt=1, lineID=739, koords=(6.7032,36.715) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=739, koords=(3.048,38.814) <-> pt=1, lineID=739, koords=(6.7032,36.715) & pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355)
pt=0, lineID=8, koords=(1.984,37.838) <-> pt=1, lineID=8, koords=(8.5744,40.8634) & pt=0, lineID=739, koords=(3.048,38.814) <-> pt=1, lineID=739, koords=(6.7032,36.715)
pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=115, koords=(3.18,29.134) <-> pt=1, lineID=115, koords=(9.5764,29.223) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=115, koords=(3.18,29.134) <-> pt=1, lineID=115, koords=(9.5764,29.223) & pt=0, lineID=406, koords=(2.76,28.659) <-> pt=1, lineID=406, koords=(3.3388,28.1724)
pt=0, lineID=498, koords=(3.18,45.866) <-> pt=1, lineID=498, koords=(8.7668,43.0817) & pt=0, lineID=166, koords=(2.91,54.292) <-> pt=1, lineID=166, koords=(7.6996,57.9966)
pt=0, lineID=498, koords=(3.18,45.866) <-> pt=1, lineID=498, koords=(8.7668,43.0817) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=946, koords=(3.194,44.898) <-> pt=1, lineID=946, koords=(5.686,48.4906) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=946, koords=(3.194,44.898) <-> pt=1, lineID=946, koords=(5.686,48.4906) & pt=0, lineID=739, koords=(3.048,38.814) <-> pt=1, lineID=739, koords=(6.7032,36.715)
pt=0, lineID=959, koords=(3.315,86.36) <-> pt=1, lineID=959, koords=(8.5304,81.826) & pt=0, lineID=986, koords=(2.003,88.347) <-> pt=1, lineID=986, koords=(11.2453,82.0636)
pt=0, lineID=959, koords=(3.315,86.36) <-> pt=1, lineID=959, koords=(8.5304,81.826) & pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365)
pt=0, lineID=115, koords=(3.18,29.134) <-> pt=1, lineID=115, koords=(9.5764,29.223) & pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832)
pt=0, lineID=8, koords=(1.984,37.838) <-> pt=1, lineID=8, koords=(8.5744,40.8634) & pt=0, lineID=946, koords=(3.194,44.898) <-> pt=1, lineID=946, koords=(5.686,48.4906)
pt=0, lineID=739, koords=(3.048,38.814) <-> pt=1, lineID=739, koords=(6.7032,36.715) & pt=0, lineID=61, koords=(1.307,39.116) <-> pt=1, lineID=61, koords=(9.8331,35.355)
pt=0, lineID=946, koords=(3.194,44.898) <-> pt=1, lineID=946, koords=(5.686,48.4906) & pt=0, lineID=498, koords=(3.18,45.866) <-> pt=1, lineID=498, koords=(8.7668,43.0817)
pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632) & pt=0, lineID=8, koords=(1.984,37.838) <-> pt=1, lineID=8, koords=(8.5744,40.8634)
pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=146, koords=(3.598,80.7) <-> pt=1, lineID=146, koords=(7.289,77.014) & pt=0, lineID=720, koords=(1.1,89.671) <-> pt=1, lineID=720, koords=(4.3714,82.5365)
pt=0, lineID=146, koords=(3.598,80.7) <-> pt=1, lineID=146, koords=(7.289,77.014) & pt=0, lineID=781, koords=(0.182,73.33) <-> pt=1, lineID=781, koords=(5.6953,74.9794)
pt=0, lineID=891, koords=(3.609,58.566) <-> pt=1, lineID=891, koords=(10.3991,55.7742) & pt=0, lineID=567, koords=(2.491,61.085) <-> pt=1, lineID=567, koords=(9.7267,55.904)
pt=0, lineID=891, koords=(3.609,58.566) <-> pt=1, lineID=891, koords=(10.3991,55.7742) & pt=0, lineID=662, koords=(2.234,56.7) <-> pt=1, lineID=662, koords=(9.9559,60.7845)
pt=0, lineID=760, koords=(3.646,30.463) <-> pt=1, lineID=760, koords=(12.1793,28.7836) & pt=0, lineID=344, koords=(1.202,31.36) <-> pt=1, lineID=344, koords=(10.3069,28.6424)
pt=0, lineID=760, koords=(3.646,30.463) <-> pt=1, lineID=760, koords=(12.1793,28.7836) & pt=0, lineID=115, koords=(3.18,29.134) <-> pt=1, lineID=115, koords=(9.5764,29.223)
pt=0, lineID=186, koords=(3.646,33.258) <-> pt=1, lineID=186, koords=(11.964,39.3891) & pt=0, lineID=366, koords=(0.378,31.382) <-> pt=1, lineID=366, koords=(4.981,34.374)
pt=0, lineID=186, koords=(3.646,33.258) <-> pt=1, lineID=186, koords=(11.964,39.3891) & pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261)
pt=0, lineID=784, koords=(3.671,32.031) <-> pt=1, lineID=784, koords=(12.957,37.7714) & pt=0, lineID=109, koords=(1.535,28.996) <-> pt=1, lineID=109, koords=(3.7751,33.261)
pt=0, lineID=784, koords=(3.671,32.031) <-> pt=1, lineID=784, koords=(12.957,37.7714) & pt=0, lineID=273, koords=(2.308,31.554) <-> pt=1, lineID=273, koords=(9.1156,32.3412)
pt=0, lineID=946, koords=(3.194,44.898) <-> pt=1, lineID=946, koords=(5.686,48.4906) & pt=0, lineID=166, koords=(2.91,54.292) <-> pt=1, lineID=166, koords=(7.6996,57.9966)
pt=0, lineID=498, koords=(3.18,45.866) <-> pt=1, lineID=498, koords=(8.7668,43.0817) & pt=0, lineID=262, koords=(1.297,45.861) <-> pt=1, lineID=262, koords=(4.3129,45.2632)
pt=0, lineID=743, koords=(3.768,95.083) <-> pt=1, lineID=743, koords=(10.9171,92.1274) & pt=0, lineID=633, koords=(0.691,96.594) <-> pt=1, lineID=633, koords=(4.0893,96.611)
pt=0, lineID=743, koords=(3.768,95.083) <-> pt=1, lineID=743, koords=(10.9171,92.1274) & pt=0, lineID=785, koords=(2.997,93.865) <-> pt=1, lineID=785, koords=(9.3001,92.4485)
pt=0, lineID=186, koords=(3.646,33.258) <-> pt=1, lineID=186, koords=(11.964,39.3891) & pt=0, lineID=784, koords=(3.671,32.031) <-> pt=1, lineID=784, koords=(12.957,37.7714)
pt=0, lineID=798, koords=(2.295,25.856) <-> pt=1, lineID=798, koords=(10.0442,31.7832) & pt=0, lineID=822, koords=(1.511,17.457) <-> pt=1, lineID=822, koords=(8.7173,20.3512)
pt=0, lineID=804, koords=(3.839,52.464) <-> pt=1, lineID=804, koords=(6.6373,47.7798) & pt=0, lineID=166, koords=(2.91,54.292) <-> pt=1, lineID=166, koords=(7.6996,57.9966)
